organization,state,group1,records,year,source,group,Business Associate Present
Carson Valley Medical Center,NV,Healthcare Provider,11368,2017,Unauthorized Access,Email,No
Sinai Health System ,IL,Healthcare Provider,11347,2017,Hacking,Email,No
Golden Gate Regional Center ,CA,Business Associate,11315,2020,Hacking,Network Server,Yes
Spectrum Healthcare Partners,ME,Healthcare Provider,11308,2020,Hacking,Email,No
Galstan & Ward Family and Cosmetic Dentistry,VA,Healthcare Provider,11258,2020,Hacking,Email,No
CarePlus Health Plan [case #HU1800066],KY,Health Plan,11248,2018,Unauthorized Access,Paper/Films,No
"Dormant: Professional Dental Alliance of Tennessee, LLC",PA,Healthcare Provider,11217,2021,Unauthorized Access,Email,No
Mercy Health,MO,Healthcare Provider,11187,2021,Unauthorized Access,Network Server,No
UPMC St. Margaret ,PA,Healthcare Provider,11135,2021,Unauthorized Access,Other,No
Emergence Health Network,TX,Healthcare Provider,11100,2015,Hacking,Network Server,No
Magnolia Pediatrics,LA,Healthcare Provider,11100,2019,Hacking,Computer ,No
Fairfax County Public Schools' Health Plan,VA,Business Associate,11056,2021,Hacking,Email,Yes
Cottage Health,CA,Healthcare Provider,11000,2015,Unauthorized Access,Network Server,No
"Appalachian Gastroenterology, P.A.",NC,Healthcare Provider,11000,2016,Hacking,Network Server,No
Bluetail Medical Group,MO,Healthcare Provider,11000,2017,Hacking,Computer ,No
Kansas Department for Aging and Disability Services,KS,Healthcare Provider,11000,2018,Unauthorized Access,Computer ,No
"Healthpointe Medical Group, Inc.",CA,Healthcare Provider,11000,2021,Hacking,Network Server,No
American Baptist Homes of the Midwest,MN,Healthcare Provider,10993,2019,Hacking,Email,No
"Carolina Digestive Health Associates, PA",NC,Healthcare Provider,10988,2018,Unauthorized Access,Network Server,No
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,10974,2020,Hacking,Network Server,No
Monroe County Hospital,GA,Healthcare Provider,10970,2019,Hacking,Email,No
SUPERVALU Group Health Plan,MN,Health Plan,10946,2015,Hacking,Network Server,Yes
Thomasville Eye Center,GA,Healthcare Provider,10891,2016,Unauthorized Access,Computer ,No
"Cambridge Healthcare Services, LLC",CA,Business Associate,10866,2019,Theft/Loss,Computer ,Yes
Dr. Amy Woodruff,TX,Healthcare Provider,10862,2018,Hacking,Network Server,No
"Friendship Community Care, Inc.",AR,Healthcare Provider,10845,2020,Unauthorized Access,Email,No
"Dormant: Professional Dental Alliance of New York, PLLC",PA,Healthcare Provider,10778,2021,Unauthorized Access,Email,No
Mid-Valley Behavioral Care Network,OR,Business Associate,10710,2019,Hacking,Email,Yes
Planned Parenthood of Greater Washington and North Idaho,WA,Healthcare Provider,10700,2016,Unauthorized Access,Email,Yes
Stockdale Radiology,CA,Healthcare Provider,10700,2020,Hacking,Computer ,No
Hospice of the Piedmont,VA,Healthcare Provider,10682,2021,Hacking,Email,No
West Hills Hospital & Medical Center,CA,Healthcare Provider,10650,2019,Hacking,Network Server,Yes
Mille Lacs Health System,MN,Healthcare Provider,10630,2020,Hacking,Email,No
"Riaz Baber, M.D., S.C.",IL,Healthcare Provider,10500,2017,Unauthorized Access,Paper/Films,No
Maffi Clinics,AZ,Healthcare Provider,10465,2019,Hacking,Network Server,No
Sisters of Charity Hospital,NY,Healthcare Provider,10464,2021,Hacking,Network Server,Yes
"A New Leaf, Inc.",AZ,Healthcare Provider,10438,2021,Hacking,Network Server,No
"Jefferson Medical Associates, P.A.",MS,Healthcare Provider,10401,2016,Hacking,Network Server,No
AFLAC,GA,Health Plan,10396,2018,Hacking,Email,Yes
"Hamilton Health Center, Inc. ",PA,Healthcare Provider,10393,2020,Hacking,Email,No
Long Island Jewish Forest Hills Hospital ,NY,Healthcare Provider,10333,2021,Unauthorized Access,Network Server,No
"Primary Health Care, Inc.",IA,Healthcare Provider,10313,2018,Hacking,Email,No
Fire Department City of New York,NY,Healthcare Provider,10292,2019,Theft/Loss,Computer,No
Minnesota Department of Human Services,MN,Healthcare Provider,10263,2019,Hacking,Email,No
"Intellirad Imaging, LLC ",FL,Healthcare Provider,10261,2020,Hacking,Network Server,Yes
Plastic Surgery Associates of South Dakota,SD,Healthcare Provider,10229,2017,Hacking,Network Server,No
"Kaiser Foundation Health Plan of Georgia, Inc. ",GA,Health Plan,10205,2020,Unauthorized Access,Paper/Films,No
Northeast OB/GYN Associates,TX,Healthcare Provider,10198,2017,Hacking,Computer ,No
District Medical Group,AZ,Healthcare Provider,10190,2020,Hacking,Email,No
Hawai???i Medical Service Association,HI,Health Plan,10179,2016,Unauthorized Access,Paper/Films,No
Verity Medical Foundation,CA,Healthcare Provider,10164,2017,Hacking,Network Server,No
"PVHS-ICM Employee Health and Wellness, LLC as covered entity and business associate",CO,Healthcare Provider,10143,2017,Hacking,Network Server,No
"Raley's/Bel Air Mart/Nob Hill General Store, Inc.",CA,Healthcare Provider,10124,2018,Theft/Loss,Computer ,No
University Hospital  ,NJ,Healthcare Provider,10067,2021,Unauthorized Access,Other,No
"CareSource Indiana, Inc",OH,Health Plan,10021,2020,Unauthorized Access,Paper/Films,Yes
Pediatric Group LLC,IL,Healthcare Provider,10000,2015,Hacking,Network Server,No
Maryland Medical Center/Dr. Morrill,MD,Healthcare Provider,10000,2016,Hacking,Computer ,No
White Coats Wellness,FL,Business Associate,10000,2017,Hacking,Email,Yes
Wells Pharmacy Network,FL,Healthcare Provider,10000,2018,Unauthorized Access,Email,No
"Longwood Orthopedic Associates, Inc.",MA,Healthcare Provider,10000,2018,Unauthorized Access,Email,No
"Elmcroft Senior Living, Inc.",TX,Healthcare Provider,10000,2018,Hacking,Network Server,No
RiverKids Pediatric Home Health,TX,Healthcare Provider,10000,2019,Hacking,Email,No
University of Utah,UT,Healthcare Provider,10000,2020,Hacking,Email,No
